number,label
2,Left_Cerebral_White_Matter
4,Left_Lateral_Ventricle
5,Left_Inf_Lat_Vent
7,Left_Cerebellum_White_Matter
8,Left_Cerebellum_Cortex
10,Left_Thalamus_Proper
11,Left_Caudate
12,Left_Putamen
13,Left_Pallidum
14,3rd_Ventricle
15,4th_Ventricle
16,Brain_Stem
17,Left_Hippocampus
18,Left_Amygdala
24,CSF
26,Left_Accumbens_area
28,Left_VentralDC
30,Left_vessel
31,Left_choroid_plexus
41,Right_Cerebral_White_Matter
43,Right_Lateral_Ventricle
44,Right_Inf_Lat_Vent
46,Right_Cerebellum_White_Matter
47,Right_Cerebellum_Cortex
49,Right_Thalamus_Proper
50,Right_Caudate
51,Right_Putamen
52,Right_Pallidum
53,Right_Hippocampus
54,Right_Amygdala
58,Right_Accumbens_area
60,Right_VentralDC
62,Right_vessel
63,Right_choroid_plexus
77,WM_hypointensities
85,Optic_Chiasm
251,CC_Posterior
252,CC_Mid_Posterior
253,CC_Central
254,CC_Mid_Anterior
255,CC_Anterior
1000,lh_unknown
1001,lh_bankssts
1002,lh_caudalanteriorcingulate
1003,lh_caudalmiddlefrontal
1004,lh_corpuscallosum
1005,lh_cuneus
1006,lh_entorhinal
1007,lh_fusiform
1008,lh_inferiorparietal
1009,lh_inferiortemporal
1010,lh_isthmuscingulate
1011,lh_lateraloccipital
1012,lh_lateralorbitofrontal
1013,lh_lingual
1014,lh_medialorbitofrontal
1015,lh_middletemporal
1016,lh_parahippocampal
1017,lh_paracentral
1018,lh_parsopercularis
1019,lh_parsorbitalis
1020,lh_parstriangularis
1021,lh_pericalcarine
1022,lh_postcentral
1023,lh_posteriorcingulate
1024,lh_precentral
1025,lh_precuneus
1026,lh_rostralanteriorcingulate
1027,lh_rostralmiddlefrontal
1028,lh_superiorfrontal
1029,lh_superiorparietal
1030,lh_superiortemporal
1031,lh_supramarginal
1032,lh_frontalpole
1033,lh_temporalpole
1034,lh_transversetemporal
1035,lh_insula
2000,rh_unknown
2001,rh_bankssts
2002,rh_caudalanteriorcingulate
2003,rh_caudalmiddlefrontal
2004,rh_corpuscallosum
2005,rh_cuneus
2006,rh_entorhinal
2007,rh_fusiform
2008,rh_inferiorparietal
2009,rh_inferiortemporal
2010,rh_isthmuscingulate
2011,rh_lateraloccipital
2012,rh_lateralorbitofrontal
2013,rh_lingual
2014,rh_medialorbitofrontal
2015,rh_middletemporal
2016,rh_parahippocampal
2017,rh_paracentral
2018,rh_parsopercularis
2019,rh_parsorbitalis
2020,rh_parstriangularis
2021,rh_pericalcarine
2022,rh_postcentral
2023,rh_posteriorcingulate
2024,rh_precentral
2025,rh_precuneus
2026,rh_rostralanteriorcingulate
2027,rh_rostralmiddlefrontal
2028,rh_superiorfrontal
2029,rh_superiorparietal
2030,rh_superiortemporal
2031,rh_supramarginal
2032,rh_frontalpole
2033,rh_temporalpole
2034,rh_transversetemporal
2035,rh_insula
