,ARC_L,ARC_R,ATR_L,ATR_R,AntFrontal,CGC_L,CGC_R,CST_L,CST_R,IFO_L,IFO_R,ILF_L,ILF_R,Motor,Occipital,Orbital,PostParietal,SLF_L,SupFrontal,SupParietal,Temporal,UNC_L,UNC_R
100206,0.000860596234840845,0.0008654106277908713,0.0008776641533243619,0.0009182961211659668,0.0008947934153324901,0.000895541416839679,0.0008932983404343614,0.0008831461371468819,0.0008601947908627909,0.0009153301136196254,0.0009357632913585029,0.0009340784280558978,0.0009331767740158057,0.0009057483627808731,0.000881609273930827,0.0009258047602794752,0.0008898133333481765,0.000876012932949764,0.0009047839874734733,0.0008797211472605119,0.0009657958143224156,0.0009555400050832558,0.000941505185346357
100307,0.0008464471984816652,0.0009176367646243813,0.0009299328494678047,0.0009251457698278767,0.0009459212502478728,0.0008952083983239227,0.0009440302772473108,0.0008699506870444386,0.0008900106322276085,0.0009555450259627854,0.0009307417815340725,0.0009662059000813771,0.0009380526372618084,0.0009278992541263128,0.0009357347505027542,0.0009320291144330309,0.0009048616377383709,0.0008611714419600908,0.000944144285420732,0.0009536294702647704,0.000966470731204515,0.000993050048760639,0.0009711248203131187
100408,0.0008092854843304877,0.0008392936368759488,0.000829271178143334,0.0009240214953531622,0.0008997712959498615,0.0008189256550912606,0.0008778922107286603,0.0008700779020612652,0.0008570772790332773,0.0008710742780994302,0.0009493458940501723,0.0008865642234097087,0.0009472417482957749,0.0008810492919542399,0.0009234590681780159,0.0008660965757656661,0.0008495629860824719,0.0008565610564603753,0.0008747572038649421,0.0008432405326581735,0.0009202990368169543,0.0009340112155361218,0.0008900285393688318
100610,0.0009469320495174595,0.0008695013188984852,0.0008404751780545613,0.0009237675396861185,0.0009404205611449533,0.0009660284553748017,0.0009617636973251562,0.000897591334355336,0.0008903006967275727,0.0009168444185871442,0.0009904593596940616,0.0009674319318301311,0.000979601044021941,0.0009338607828318202,0.0009244393921418901,0.0009186840426267889,0.0009218286998293268,0.0009503828656163752,0.000931468186489522,0.000913979515039943,0.000980233912231885,0.0009963053280580005,0.0009744335353554501
101006,0.0008462203341543502,0.0008892376718899837,0.0008172968574116816,0.0009144958101792934,0.0009332459725980113,0.0008895833291476426,0.0008972465355048322,0.000843493975116248,0.000864899651226808,0.0008806941821246543,0.000957968586705846,0.0009225303105816702,0.0009539731032706558,0.0008906358319042767,0.0009083802976208178,0.0009074202875458559,0.0008968782485663941,0.0008967646462441908,0.000908956341236863,0.0008989164718706559,0.0009517086537728415,0.0009438515033836592,0.0009323921766795787
101107,0.000811029478126512,0.0009015284887512563,0.0009160163242836069,0.0009440753176698802,0.0008907614391733243,0.0008283307965560707,0.0009001426992830429,0.000882927021906514,0.0008950493075776903,0.0009295689291677911,0.0009062733231372636,0.0009564055758770598,0.000926100056412999,0.000876822304561385,0.0009175516255694792,0.0008595527814150301,0.000881823417152141,0.0008460334381907568,0.0008896364243893577,0.0008882162795900806,0.0009453219766379794,0.00100413420856152,0.0009540513006483063
101309,0.0007979742354900986,0.0008366356650121329,0.0009597025247937242,0.0008925072782816133,0.000903561898319478,0.0008347774091926111,0.000896310033632474,0.0008562589814502832,0.0008724660890495655,0.000931412352114793,0.0008358122608592421,0.0009343198578739252,0.0008796783098052343,0.0008803244610427995,0.0008982482890990203,0.0008651519956745002,0.0008403743465619606,0.0008173821254740639,0.0008679852287596687,0.0008823770520993603,0.0009635454276346179,0.0009240228827116086,0.0009162956689978056
101410,0.000882909054201363,0.0009437779458543291,0.0009044292653485768,0.000988384639514601,0.0009492382722279739,0.00092238391507047,0.0009571691458179765,0.0009177090714654361,0.000910280169287038,0.0009371950518387874,0.0009742433449261706,0.0009957186300264193,0.0010126481113772328,0.0009399081225876615,0.0009215979641993774,0.000878685636671596,0.00092686269287066,0.0009340326488905572,0.0009618094854203888,0.0009317139820154832,0.001005505183462524,0.00104434703565252,0.0009508416122269282
101915,0.000833317804335451,0.0008940674318882298,0.000825006999149331,0.0009132550105032303,0.0009190073421359772,0.0008589787010733949,0.0008931220675541791,0.0008578961061172848,0.0008699119648466508,0.0009229638132230893,0.0009543028673676698,0.0009313138316661908,0.0009544603001050422,0.0008734882149860469,0.0008972940380613122,0.0008903516551303578,0.000873090493847787,0.00088885592811083,0.0008836770723779791,0.0008929849830670983,0.001003620965677295,0.0009568000959295206,0.0009099912716543441
102008,0.0007701582715031901,0.0008538426972863099,0.000858587280122322,0.0009029437589730061,0.0008755134170705517,0.000806367483795887,0.0008750314027524052,0.0008431180301063896,0.0008660876269730657,0.0009086040492188459,0.0008825489440360955,0.0009085335930198708,0.0008808168892371003,0.0008618167584517396,0.0008755024804087598,0.0008549976797152029,0.0008552647387601309,0.0008113241633618437,0.000864662685791001,0.0008636939206260274,0.0009435343259656229,0.0009392460363794151,0.0008549234670987859
